기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.1/4	합계	4,290,922	10,054,979	4,909,387	5,145,592	9,770,216	4,772,134	4,998,082	284,763	137,253	147,510	2.28	1,436,125
2019.1/4	종로구	73,914	162,913	78,963	83,950	152,778	74,536	78,242	10,135	4,427	5,708	2.07	26,981
2019.1/4	중구	61,800	135,836	66,720	69,116	125,942	61,992	63,950	9,894	4,728	5,166	2.04	22,421
2019.1/4	용산구	109,413	245,139	119,597	125,542	229,168	110,626	118,542	15,971	8,971	7,000	2.09	38,049
2019.1/4	성동구	137,247	314,608	154,011	160,597	306,404	150,287	156,117	8,204	3,724	4,480	2.23	43,076
2019.1/4	광진구	163,460	370,658	179,162	191,496	354,873	172,361	182,512	15,785	6,801	8,984	2.17	46,288
2019.1/4	동대문구	162,228	363,262	179,100	184,162	346,750	172,784	173,966	16,512	6,316	10,196	2.14	57,570
2019.1/4	중랑구	181,182	407,211	201,808	205,403	402,203	199,730	202,473	5,008	2,078	2,930	2.22	62,789
2019.1/4	성북구	188,670	450,021	217,400	232,621	438,245	212,830	225,415	11,776	4,570	7,206	2.32	68,612
2019.1/4	강북구	143,663	321,151	156,525	164,626	317,386	155,075	162,311	3,765	1,450	2,315	2.21	58,858
2019.1/4	도봉구	138,175	340,089	166,218	173,871	337,820	165,314	172,506	2,269	904	1,365	2.44	56,742
2019.1/4	노원구	217,748	545,486	264,460	281,026	541,174	262,593	278,581	4,312	1,867	2,445	2.49	78,170
2019.1/4	은평구	206,527	488,713	235,925	252,788	484,274	234,064	250,210	4,439	1,861	2,578	2.34	78,406
2019.1/4	서대문구	139,811	324,604	154,410	170,194	311,771	150,103	161,668	12,833	4,307	8,526	2.23	51,085
2019.1/4	마포구	173,517	386,571	182,249	204,322	375,106	177,872	197,234	11,465	4,377	7,088	2.16	51,293
2019.1/4	양천구	176,680	466,622	229,486	237,136	462,599	227,678	234,921	4,023	1,808	2,215	2.62	58,930
2019.1/4	강서구	260,152	602,886	292,646	310,240	596,287	289,454	306,833	6,599	3,192	3,407	2.29	80,903
2019.1/4	구로구	173,585	438,889	220,013	218,876	404,726	200,367	204,359	34,163	19,646	14,517	2.33	63,017
2019.1/4	금천구	108,823	254,244	130,503	123,741	233,981	118,913	115,068	20,263	11,590	8,673	2.15	36,301
2019.1/4	영등포구	172,828	404,556	203,579	200,977	368,824	183,493	185,331	35,732	20,086	15,646	2.13	56,463
2019.1/4	동작구	179,709	412,031	199,526	212,505	398,886	193,622	205,264	13,145	5,904	7,241	2.22	60,462
2019.1/4	관악구	265,360	520,645	260,919	259,726	502,615	252,307	250,308	18,030	8,612	9,418	1.89	73,005
2019.1/4	서초구	172,929	437,007	209,329	227,678	432,762	207,206	225,556	4,245	2,123	2,122	2.5	55,366
2019.1/4	강남구	229,546	546,875	262,082	284,793	541,854	259,510	282,344	5,021	2,572	2,449	2.36	68,104
2019.1/4	송파구	276,815	685,361	332,367	352,994	678,521	329,046	349,475	6,840	3,321	3,519	2.45	83,492
2019.1/4	강동구	177,140	429,601	212,389	217,212	425,267	210,371	214,896	4,334	2,018	2,316	2.4	59,742
